_RAJ2000,_DEJ2000,_r,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
1.8099426294623,60.3841078414194,1.35305,429292946298871808,1.80994262946,60.38410784142,0.1198,-2.683,-0.317,18.025845,18.626808,17.260567,Berkeley_1,0.37
1.8828658746367,60.3192214819663,1.422004,429291945562698368,1.88286587464,60.31922148197,0.0859,-2.674,-0.223,17.844696,18.502342,17.008858,Berkeley_1,0.36
1.8605097927468,60.2854287179688,1.435483,429291395806266880,1.86050979275,60.28542871797,0.1811,-2.873,-0.403,19.380678,20.21541,18.565155,Berkeley_1,0.05
1.913110876058,60.2906337346782,1.451863,429291327086817536,1.91311087606,60.29063373468,0.0511,-2.9,-0.37,19.047964,19.791718,18.254984,Berkeley_1,0.07
1.7670517127068,60.2825092363873,1.40283,429290678556216704,1.76705171271,60.28250923639,0.2122,-2.725,-0.123,17.126678,17.853075,16.290127,Berkeley_1,0.19
1.8588614102997,60.2338087538129,1.469308,429289750834747904,1.8588614103,60.23380875381,0.2805,-2.44,-0.439,19.334297,20.149677,18.394924,Berkeley_1,0.05
1.9206645727064,60.1683928766604,1.536453,429288921904565376,1.92066457271,60.16839287666,0.3923,-2.851,-0.302,19.256016,20.189434,18.329235,Berkeley_1,0.06
1.973440306714,60.3357519365771,1.446458,429288891849806976,1.97344030671,60.33575193658,0.2843,-2.76,-0.182,15.881979,16.269358,15.312094,Berkeley_1,0.98
1.9631479707089,60.3114656811414,1.457643,429288750107017088,1.96314797071,60.31146568114,0.3755,-2.956,-0.061,18.604227,19.291,17.811232,Berkeley_1,0.12
2.0126200568406,60.2796538355557,1.496758,429288647027177216,2.01262005684,60.27965383556,0.2588,-2.765,-0.306,17.190723,17.845055,16.402498,Berkeley_1,0.95
2.0861520188416,60.2750646104257,1.527934,429288509588205184,2.08615201884,60.27506461043,0.1991,-2.686,-0.318,17.999628,18.702312,17.226503,Berkeley_1,0.71
2.0632684946569,60.2544832461452,1.532154,429287998488111616,2.06326849466,60.25448324615,0.2114,-2.452,-0.509,18.68901,19.288326,17.774626,Berkeley_1,0.09
2.1440855472552,60.2675773005035,1.555059,429287719314187776,2.14408554726,60.2675773005,-0.1188,-2.383,-0.528,19.56731,20.369781,18.739992,Berkeley_1,0.08
2.1646559092414,60.2644029689316,1.56503,429287719314170880,2.16465590924,60.26440296893,0.0194,-2.671,-0.232,19.201197,20.186138,18.326426,Berkeley_1,0.22
2.0989333515983,60.2538600171902,1.546213,429287620530999680,2.0989333516,60.25386001719,0.0328,-2.769,-0.013,19.91884,20.955355,19.00716,Berkeley_1,0.06
2.5771213429769,60.7235011303071,1.518416,429233224768831488,2.57712134298,60.72350113031,0.2036,-2.57,0.001,18.196884,18.882208,17.385435,Berkeley_1,0.37
2.2746892623107,60.7591966591337,1.367363,429213570998571264,2.27468926231,60.75919665913,0.4406,-2.399,-0.467,18.772972,19.359808,18.056639,Berkeley_1,0.05
2.6953998174319,60.6990259110733,1.581166,429232988555942784,2.69539981743,60.69902591107,0.3591,-3.04,-0.026,18.725548,19.466993,17.934498,Berkeley_1,0.14
2.8593439059724,60.6445128995824,1.675541,429220138010287232,2.85934390597,60.64451289958,-0.1483,-2.532,-0.377,20.38521,20.95839,19.447557,Berkeley_1,0.05
2.8938104799525,60.6384156019186,1.693501,429220103654106752,2.89381047995,60.63841560192,0.2147,-2.464,-0.077,17.794554,18.484306,16.973707,Berkeley_1,0.2
2.9614889434253,60.5994441033943,1.738713,429219687031603200,2.96148894343,60.59944410339,0.3062,-2.533,-0.578,19.101282,19.782791,18.269361,Berkeley_1,0.09
3.0895538398851,60.6130850893798,1.792205,429219240353731584,3.08955383989,60.61308508938,0.3269,-2.591,-0.503,17.79852,18.537935,16.885994,Berkeley_1,0.05
3.2077968119795,60.6439239585495,1.835951,429218076429562368,3.20779681198,60.64392395855,0.3744,-2.871,-0.233,18.647978,19.363396,17.845882,Berkeley_1,0.09
3.1571887582436,60.5936325738372,1.83018,429216216696720512,3.15718875824,60.59363257384,0.037,-2.877,-0.358,19.305542,19.941175,18.400896,Berkeley_1,0.06
3.1314267034156,60.5780902050986,1.824108,429216147977206784,3.13142670342,60.5780902051,0.1046,-2.451,-0.323,18.39326,19.291927,17.463978,Berkeley_1,0.1
3.2152973747367,60.5803434471669,1.861595,429215976178512768,3.21529737474,60.58034344717,0.1195,-2.633,-0.472,18.187298,19.038069,17.307215,Berkeley_1,0.08
3.2286267551875,60.569395994295,1.871694,429215941819298432,3.22862675519,60.5693959943,0.2265,-2.718,-0.269,18.924362,19.653442,18.133152,Berkeley_1,0.16
3.1857615841952,60.5004088974587,1.878819,429215327651032320,3.1857615842,60.50040889746,0.1467,-2.539,-0.463,19.438334,20.467445,18.468174,Berkeley_1,0.05
2.3977421499173,60.7594582815979,1.423746,429213747101431936,2.39774214992,60.7594582816,0.2089,-2.598,-0.168,16.476557,17.027496,15.769084,Berkeley_1,0.97
2.2984839157907,60.7563663709037,1.379245,429213570998565760,2.29848391579,60.7563663709,0.058,-2.461,-0.151,18.744286,19.44301,18.014662,Berkeley_1,0.07
2.2854239605912,60.7277867923406,1.383511,429213433559532160,2.28542396059,60.72778679234,0.2326,-2.564,-0.275,18.62602,19.299726,17.870314,Berkeley_1,0.41
2.2789793689278,60.7238744627114,1.382026,429213403503972992,2.27897936893,60.72387446271,0.3211,-2.722,-0.083,17.093557,17.704487,16.310373,Berkeley_1,0.69
2.2896435916767,60.7161842196446,1.38973,429213403497092352,2.28964359168,60.71618421964,-0.0299,-2.114,-0.446,19.581991,20.313316,18.68805,Berkeley_1,0.05
2.401439728464,60.7012762117217,1.446041,429213193042312704,2.40143972846,60.70127621172,0.4285,-2.277,-0.542,19.1614,19.9309,18.354721,Berkeley_1,0.06
2.3778849533983,60.7040588469535,1.434306,429213089963055104,2.3778849534,60.70405884695,0.3455,-2.547,-0.453,18.988482,19.559175,18.17276,Berkeley_1,0.3
2.4090884997123,60.6721691631368,1.460558,429213055608014336,2.40908849971,60.67216916314,0.4047,-2.561,-0.275,19.731115,20.547642,18.944454,Berkeley_1,0.1
2.3988004838693,60.6775304255891,1.453838,429213055602286336,2.39880048387,60.67753042559,0.3184,-2.835,-0.028,19.396887,20.341413,18.503714,Berkeley_1,0.23
2.1887689886119,60.3086713626614,1.547558,429293564765681408,2.18876898861,60.30867136266,0.0057,-2.185,-0.52,19.804487,20.56033,18.916452,Berkeley_1,0.05
2.4339626903464,60.7361776554983,1.448339,429212991180494080,2.43396269035,60.7361776555,0.133,-2.765,-0.266,20.225084,21.025661,19.358469,Berkeley_1,0.05
2.9308310384864,60.6755840752077,1.697497,429220442946055424,2.93083103849,60.67558407521,0.0722,-2.881,-0.372,17.870956,18.627562,16.99297,Berkeley_1,0.08
2.9211772943479,60.686901993536,1.689241,429220442946081280,2.92117729435,60.68690199354,0.2529,-2.357,-0.435,18.847675,19.56419,18.065706,Berkeley_1,0.06
2.8981736080621,60.6535608705417,1.690096,429220477305730432,2.89817360806,60.65356087054,0.2393,-2.989,-0.164,18.003082,18.49421,17.33629,Berkeley_1,0.16
2.889018376063,60.6964491989567,1.671222,429220649104530304,2.88901837606,60.69644919896,0.2689,-2.311,-0.211,19.16396,19.975786,18.295816,Berkeley_1,0.07
2.6718310163829,60.6892013429939,1.573783,429232851112693760,2.67183101638,60.68920134299,0.2559,-2.398,-0.487,19.264252,19.887466,18.48466,Berkeley_1,0.14
2.7570229098362,60.7393494698187,1.596238,429232743732545280,2.75702290984,60.73934946982,0.384,-2.985,-0.331,17.65216,18.249397,16.894957,Berkeley_1,0.1
2.6981264044776,60.7248484433441,1.573696,429232640653288064,2.69812640448,60.72484844334,0.2747,-2.911,-0.24,15.716753,16.047832,15.201761,Berkeley_1,0.95
2.7424856047575,60.7026877196509,1.601564,429232571933756288,2.74248560476,60.70268771965,0.2141,-2.975,-0.113,18.85353,19.55111,18.084837,Berkeley_1,0.18
2.8011102083791,60.700665334828,1.629253,429232400135061632,2.80111020838,60.70066533483,0.3999,-2.453,-0.323,18.414654,19.098135,17.64888,Berkeley_1,0.12
